simulation_date,uv_increment_uvi_hour,day,cumulative_uv_uvi_hour
t0,0.0,0,0.0
2026-08-19,45.55,1,45.55
2026-08-20,8.25,2,53.8
2026-08-21,49.95,3,103.75
2026-08-22,51.4,4,155.15
2026-08-23,49.05,5,204.2
2026-08-24,49.65,6,253.85
2026-08-25,45.15,7,299.0
2026-08-26,48.85,8,347.85
2026-08-27,32.5,9,380.35
2026-08-28,45.4,10,425.75
2026-08-29,38.3,11,464.05
2026-08-30,46.8,12,510.85
2026-08-31,46.4,13,557.25
2026-09-01,34.1,14,591.35
2026-09-02,45.699999999999996,15,637.0500000000001
2026-09-03,44.75,16,681.8000000000001
2026-09-04,45.35,17,727.1500000000001
2026-09-05,39.6,18,766.7500000000001
2026-09-06,39.8,19,806.5500000000001
2026-09-07,7.7,20,814.2500000000001
2026-09-08,35.5,21,849.7500000000001
2026-09-09,42.55,22,892.3000000000001
2026-09-10,36.85,23,929.1500000000001
2026-09-11,41.85,24,971.0000000000001
2026-09-12,41.9,25,1012.9000000000001
2026-09-13,30.55,26,1043.45
2026-09-14,36.4,27,1079.8500000000001
2026-09-15,39.6,28,1119.45
2026-09-16,36.6,29,1156.05
2026-09-17,39.65,30,1195.7
